ID,Name,Rating,Description,Address,Phone_Number,Website
10044382,Group1 Toyota Wirral,4.9,"FCA Regulated and Approved, Finance Available, Home Delivery Available","Docks Link, Wallasey, Merseyside, CH44 3EQ",(0151)-382-4783,www.group1auto.co.uk
10003711,Williams Liverpool Mini,0.0," Family Business for 110 years, 100% Approved Used Vehicles, Over 200 Approved Used MINIs","4 GREAT HOWARD STREET, Liverpool, Mersyside, L3 7HT",(0151)-382-7853,www.williamsgroup.co.uk
3896,Williams Liverpool Bmw,4.6," Family Business for 110 years, 100% Approved Used Vehicles, Over 650 Approved Used BMWs","4 Great Howard Street, Liverpool, Merseyside, L3 7HT",(0151)-382-7977,www.williamsgroup.co.uk
10004792,The Van Place Ltd,4.0,,"UNIT 1A SANDON INDUSTRIAL ESTATE, SANDON WAY, Liverpool, Lancashire, L5 9YN",(07441)-914750,www.thevanplace.com
27433,Mercedes-Benz Of Liverpool,4.7,"Manufacturer Approved Dealer., Price checked to market, Aftersales facilities","66-68 Pall Mall, Liverpool, Merseyside, L3 7DB",(0151)-382-7799,www.group1auto.co.uk
27515,Smart Of Liverpool,0.0,,"66-68 Pall Mall, Liverpool, Merseyside, L3 7DB",(0151)-382-8750,www.group1auto.co.uk
14266,Stoneacre Wallasey,1.5,"We offer competitive valuation, Now available to all customers, A large panel of lenders ","Rowson Street, New Brighton, Wallasey, Merseyside, CH45 2NA",(0151)-382-7597,www.stoneacre.co.uk
10011029,Johnsons Skoda Liverpool,4.9,,"SANDHILLS LANE, Liverpool, Lancashire, L5 9XN",(0151)-382-8177,www.johnsonscars.co.uk
6840,Liverpool Audi,4.0,"Franchised Audi Dealer,  95% Of Customers Recommend Us, Exceptional Audi Aftercare","41 Sandhills Lane, Liverpool, Merseyside, L5 9XN",(0151)-382-8421,www.stratstone.com
749157,Johnsons Seat Liverpool,4.8,,"Pall Mall, Liverpool, Merseyside, L3 6AL",(0151)-382-7754,www.johnsonscars.co.uk
10021695,Johnsons Volkswagen Liverpool,4.5,"Volkswagen Approved Used , Digital Appointments or Videos, Covid Safe Click & Collect","DERBY ROAD, Liverpool, Lancashire, L20 1AB",(0151)-382-9794,www.johnsonscars.co.uk
10031015,Richard Harris Cars Limited,5.0,,"46 Bridge Street, Birkenhead, Merseyside, CH41 1AT",(07418)-690543,www.richardharriscars.com
344170,Vauxhall Liverpool,4.8,"Click and Collect Available, Home Delivery Available","Derby Road, Liverpool, Merseyside, L20 8LR",(0151)-382-8370,www.lookers.co.uk
2294505,Windsors Mazda,5.0," Continual Family Business.,  Established 1919., New & Approved Used Mazda","Harrison Drive, Wallasey, Merseyside, CH45 3HP",(0151)-382-0061,www.windsors.uk.com
2294496,Windsors Of Wallasey,5.0," Continual Family Business. ,  Established 1919. , Used Cars of Highest Quality.","Harrison Drive, Wallasey, Merseyside, CH45 3HP",(0151)-382-4431,www.windsors.uk.com
10023087,Stanley Automotive,4.7,,"383 STANLEY ROAD, KIRKDALE, Liverpool, Lancashire, L20 2AE",(07537)-165062,www.stanleyautomotive.co.uk
715698,BVH Car Sales Ltd,5.0," Over 50 Years Experience , Wide Range of Lenders, Full RAC Service, 12 Month MOT","BVH Car Sales, Hind Street, Birkenhead, Merseyside, CH41 5DA",(0151)-382-7151,www.bvhcarsales.co.uk
14991,T.WILLIAMS CAR SALES,5.0,,"86 Shrewsbury Road, Oxton, Wirral, Cheshire, CH43 6TF",(07537)-165686,www.twilliamscarsales.co.uk
709241,Johnsons Hyundai Liverpool,4.8," HYUNDAI RETAILER, Home Delivery available, JOHNSONS CARS FOUNDED IN 1999","72 Rimrose Road, Bootle, Merseyside, L20 4TX",(0151)-382-7755,www.johnsonscars.co.uk
138969,Liverpool Car Centre,5.0,,"75 Brewster Street, Bootle, Merseyside, L20 9NG",(0151)-382-8269,www.liverpoolcarcentre.com
10044383,Lexus Liverpool,2.0,"FCA Regulated and Approved, Finance Available, Home Delivery Available","72 Rimrose Road, Bootle, Merseyside, L20 4TX",(0151)-382-6989,www.group1auto.co.uk
10044380,Group1 Toyota Liverpool,5.0,"FCA Regulated and Approved, Finance Available, Home Delivery Available","60-70 Rimrose Road, Bootle, Merseyside, L20 4TX",(0151)-382-0201,www.group1auto.co.uk
61907,Prenton Motor Company,5.0,"Friendly professional service, Same day finance available, Nationwide Warranties ","609 Borough Road, Birkenhead, Wirral, CH42 0HD",(0151)-382-7166,www.prentonmotorcompany.co.uk
24412,Arnold Clark Liverpool Motorstore / MG,4.8,"Reserve your vehicle online, Click & Collect close to you, Live video appointments","55 Sefton Street, Toxteth, Liverpool, Merseyside, L8 6UD",(0151)-382-7975,www.arnoldclark.com
21872,Solo Car Sales,4.8,"Cheapest Finance in Liverpool,  Recent WINNER of Awards 2024,  BMW MERCEDES & AUDI Specialist","3b Larch Lea, Liverpool, Merseyside, L6 5BN",(0151)-382-7223,www.solocars.co.uk
284611,Church View Car Sales Ltd,3.3,,"1A, Breeze Hill, Liverpool, Lancashire, L9 1DY",(0151)-382-7155,www.nationwidecarsalesuk.com
10046011,AFCS,5.0,"All vehicles HPI Clear, 3 Months In House Warranty,  Subject To Qualifying ","Unit 3, Peninsula Business Park, Reeds Lane, Wirral, Merseyside, CH46 1DW",(07456)-414998,www.afcarsales.com
430,Georgesons Car Sales,5.0," Family run since 1955, Rated EXCELLENT on Trustpilot, Part Exchange and Finance ","2-18 Breck Road, Liverpool, Merseyside, L4 2RA",(0151)-382-9770,www.georgesonscars.co.uk
25736,Stoneacre Liverpool,1.0,,"SEFTON STREET, TOXTETH, Liverpool, Lancashire, L8 5SN",(0151)-382-7596,www.stoneacre.co.uk
14699,Beech Garage Car Sales Ltd,5.0,,"67 - 69 Bridge Road, Litherland, Liverpool, Merseyside, L21 2PA",(0151)-382-7171,www.beechgaragecarsales.co.uk
282978,Hatfields Jaguar Land Rover Liverpool,4.9,"Approved Used Car Retailer ,  JLR Retailer of the Year ,  Est. 1922","1 Riverside Drive, Liverpool, Merseyside, L3 4EN",(0151)-382-8365,hatfields.co.uk
10043883,1st Car Shop,4.6,,"Hornby Road, Liverpool, Lancashire, L9 3DF",(07537)-123612,
10004134,Pasture Car Sales,5.0,,"Pasture Garage, Pasture Road, Wirral, Merseyside, CH46 4TH",(0151)-382-7212,www.pastureroadcarsales.co.uk
10012433,Warbreck Car Sales Ltd,5.0,,"95 ORRELL LANE, Liverpool, Lancashire, L9 8BL",(0151)-382-7186,www.warbreckcarsales.co.uk
10002126,Petrol Heads Motor Company Ltd,0.0,,"76 Wallasey Road, Wallasey, Wirral, Merseyside, CH44 2AE",(07537)-124978,
10040067,MXW Automotive Limited,4.8,,"28A Tarran Way West, Tarran Industrial Estate, Wirral, Merseyside, CH46 4TT",(07441)-906282,
10015082,Brookway Cars,0.0,,"Unit D6 21 BROOKWAY, NORTH CHESHIRE TRADING ESTATE, Prenton, Merseyside, CH43 3DS",(0151)-382-8549,www.brookwaycars.co.uk
10001179,Motors Today,4.9," Multi-Award Winning Dealership,  Aftersales Excellence winners , Trading Standards Approved ","ARROWE PARK ROAD, UPTON, Wirral, Merseyside, CH49 0UF",(0151)-382-3357,www.motors-today.co.uk
10027563,Northwest Car and Van Sales LTD,5.0, finance options available,"Unit 6, PAULA WORKS, CHARNOCK ROAD, Liverpool, Lancashire, L9 7ET",(0151)-382-0939,www.northwestcarandvansales.co.uk
89588,Peoples Liverpool Bootle,4.9," Try Before You Buy, Personalised Videos, Reserve Online for £99","Orrell Lane, Bootle, Liverpool, Merseyside, L20 6PD",(0151)-382-7161,www.peoplescars.co.uk
10039901,Peoples BYD Liverpool,5.0,"Approved BYD Dealer,  Family Owned Business, Electric Vehicles","Trinity Park, Orrell Lane, Bootle, Merseyside, L20 6PD",(0151)-5564455,www.peoplescars.co.uk
10044958,Long Lane Budget Car & Van Sales,5.0," Budget Car & Van Specialists, All Vehicles Are HPI Clear, Nation Wide Delivery Available","Unit 2, Nelson Industrial Estate, Long Lane, Walton, Liverpool, Lancashire, L9 7BN",(07441)-939694,
14917,Da Blundell Car Sales,4.8,,"Unit 4 Brookfield Drive, Liverpool, Merseyside, L9 7AJ",(07537)-124580,www.dablundellcarsales.co.uk
10005124,Tallbrook Ltd,5.0," EXCELLENT CUSTOMER SERVICE,  MOT , 82 POINT PDI , SERVICE","440 HOYLAKE ROAD, Wirral, Merseyside, CH46 6DG",(0151)-382-7178,www.tallbrook.co.uk
