,playerName,playerId,age,country,club,contractStart,contractEnd,grossPW,grossPY,grossPYBonus,contractReleaseClause
0,Erling Haaland,erling-haaland-36728,25,Norway,Manchester City,2025-01-17,2034-06-30,525000.0,27300000.0,18200000.0,0.0
1,Mohamed Salah,mohamed-salah-33770,33,Egypt,Liverpool,2025-04-11,2027-06-30,400000.0,20800000.0,5200000.0,0.0
2,Casemiro,casemiro-33657,33,Brazil,Manchester United,2022-08-22,2026-06-30,350000.0,18200000.0,5200000.0,0.0
3,Virgil van Dijk,virgil-van-dijk-33427,34,Netherlands,Liverpool,2025-04-17,2027-06-30,350000.0,18200000.0,2600000.0,0.0
4,Raheem Sterling,raheem-sterling-34676,30,England,Chelsea,2022-07-13,2027-06-30,325000.0,16900000.0,4225000.0,0.0
5,Bruno Fernandes,bruno-fernandes-34585,30,Portugal,Manchester United,2024-08-14,2027-06-30,300000.0,15600000.0,3900000.0,0.0
6,Bernardo Silva,bernardo-silva-34556,31,Portugal,Manchester City,2023-08-23,2026-06-30,300000.0,15600000.0,3900000.0,50000000.0
7,Omar Marmoush,omar-marmoush-36198,26,Egypt,Manchester City,2025-01-23,2029-06-30,295000.0,15340000.0,3835000.0,0.0
8,Kai Havertz,kai-havertz-36322,26,Germany,Arsenal,2023-07-01,2028-06-30,280000.0,14560000.0,2600000.0,0.0
9,Alexander Isak,alexander-isak-36424,25,Sweden,Liverpool,2025-09-01,2031-06-30,280000.0,14560000.0,1040000.0,0.0
10,Gabriel Jesus,gabriel-jesus-35523,28,Brazil,Arsenal,2022-07-04,2027-06-30,265000.0,13780000.0,3445000.0,0.0
11,Reece James,reece-james-36502,25,England,Chelsea,2022-09-05,2028-06-30,250000.0,13000000.0,3250000.0,0.0
12,Rúben Dias,ruben-dias-35564,28,Portugal,Manchester City,2025-08-22,2029-06-30,250000.0,13000000.0,3250000.0,0.0
13,Gianluigi Donnarumma,gianluigi-donnarumma-36216,26,Italy,Manchester City,2025-09-01,2030-06-30,250000.0,13000000.0,3250000.0,0.0
14,William Saliba,william-saliba-36974,24,France,Arsenal,2025-09-30,2030-06-30,250000.0,13000000.0,1950000.0,0.0
15,Cody Gakpo,cody-gakpo-36287,26,Netherlands,Liverpool,2025-08-30,2026-06-30,250000.0,13000000.0,3250000.0,0.0
16,John Stones,john-stones-34482,31,England,Manchester City,2021-08-10,2026-06-30,250000.0,13000000.0,3250000.0,0.0
17,Declan Rice,declan-rice-36174,26,England,Arsenal,2023-07-15,2028-06-30,240000.0,12480000.0,3120000.0,0.0
18,Martin Ødegaard,martin-odegaard-36146,26,Norway,Arsenal,2023-09-22,2028-06-30,240000.0,12480000.0,3120000.0,0.0
19,Tijjani Reijnders,tijjani-reijnders-36005,27,Netherlands,Manchester City,2025-06-10,2030-06-30,230000.0,11960000.0,2990000.0,0.0
20,Phil Foden,phil-foden-36674,25,England,Manchester City,2022-10-14,2027-06-30,225000.0,11700000.0,2925000.0,0.0
21,Jack Grealish,jack-grealish-34952,29,England,Everton,2025-08-12,2026-06-30,225000.0,11700000.0,2925000.0,0.0
22,Rodri,rodri-35238,29,Spain,Manchester City,2022-07-12,2027-06-30,220000.0,11440000.0,2860000.0,0.0
23,Florian Wirtz,florian-wirtz-37744,22,Germany,Liverpool,2025-07-01,2030-06-30,200000.0,10400000.0,2600000.0,0.0
24,Viktor Gyökeres,viktor-gyokeres-35950,27,Sweden,Arsenal,2025-07-26,2030-06-30,200000.0,10400000.0,2600000.0,0.0
25,Hugo Ekitiké,hugo-ekitike-37427,23,France,Liverpool,2025-07-23,2031-06-30,200000.0,10400000.0,2600000.0,0.0
26,Jadon Sancho,jadon-sancho-36610,25,England,Aston Villa,2025-09-01,2026-06-30,200000.0,10400000.0,2600000.0,0.0
27,Wesley Fofana,wesley-fofana-36877,24,France,Chelsea,2022-08-31,2029-06-30,200000.0,10400000.0,2600000.0,0.0
28,Josko Gvardiol,josko-gvardiol-37279,23,Croatia,Manchester City,2023-08-05,2028-06-30,200000.0,10400000.0,2600000.0,0.0
29,Xavi Simons,xavi-simons-37732,22,Netherlands,Tottenham,2025-08-29,2030-06-30,195000.0,10140000.0,2535000.0,0.0
30,Cristian Romero,cristian-romero-35912,27,Argentina,Tottenham,2025-08-18,2029-06-30,195000.0,10140000.0,2535000.0,0.0
31,Bukayo Saka,bukayo-saka-37139,23,England,Arsenal,2023-05-23,2027-06-30,195000.0,10140000.0,5200000.0,0.0
32,Matthijs de Ligt,matthijs-de-ligt-36384,26,Netherlands,Manchester United,2024-08-13,2029-06-30,195000.0,10140000.0,2535000.0,0.0
